Symbol/ISIN,Average cost,Quantity,Price target,Purchase date,ISSUER_TICKER,MSCI_INDEX,#
INE118A01012,,1,,,BAJAJHLDNG,MSCI_EM,1
TW0003045001,,1,,,3045,MSCI_EM,2
CNE100002VW1,,1,,,603882,MSCI_EM,3
ZAE000109815,,1,,,SBK,MSCI_EM,4
CNE000000R85,,1,,,000800,MSCI_EM,5
TREBIMM00018,,1,,,BIMAS.E,MSCI_EM,6
TH0003010Z04,,1,,,SCC,MSCI_EM,7
KYG040111059,,1,,,2020,MSCI_EM,8
TRASASAW91E4,,1,,,SASA.E,MSCI_EM,9
INE660A01013,,1,,,SUNDARMFIN,MSCI_EM,10
BRRADLACNOR0,,1,,,RADL3,MSCI_EM,11
CNE1000008F2,,1,,,601866,MSCI_EM,12
TW0009945006,,1,,,9945,MSCI_EM,13
CNE1000010N2,,1,,,002555,MSCI_EM,14
CNE1000018M7,,1,,,300274,MSCI_EM,15
CNE1000015F7,,1,,,601058,MSCI_EM,16
CNE000000WV6,,1,,,600188,MSCI_EM,17
CNE0000016S0,,1,,,600377,MSCI_EM,18
CNE100001567,,1,,,601567,MSCI_EM,19
BRRDORACNOR8,,1,,,RDOR3,MSCI_EM,20
CNE000000QS4,,1,,,000786,MSCI_EM,21
CNE100002GF7,,1,,,603816,MSCI_EM,22
COE15PA00026,,1,,,ISA,MSCI_EM,23
INE073K01018,,1,,,SONACOMS,MSCI_EM,24
CL0002266774,,1,,,ENELCHILE,MSCI_EM,25
CNE100000N79,,1,,,002384,MSCI_EM,26
CNE000001DX0,,1,,,600004,MSCI_EM,27
CNE1000022N7,,1,,,601985,MSCI_EM,28
KYG4232C1087,,1,,,1882,MSCI_EM,29
TW0002912003,,1,,,2912,MSCI_EM,30
CNE100000PG0,,1,,,002409,MSCI_EM,31
BRRAILACNOR9,,1,,,RAIL3,MSCI_EM,32
INE019A01038,,1,,,JSWSTEEL,MSCI_EM,33
INE721A01013,,1,,,SHRIRAMFIN,MSCI_EM,34
KR7009540006,,1,,,009540,MSCI_EM,35
CNE100001D96,,1,,,002673,MSCI_EM,36
KR7011070000,,1,,,011070,MSCI_EM,37
CNE100000XB5,,1,,,002517,MSCI_EM,38
MYL5225OO007,,1,,,IHH,MSCI_EM,39
CNE000001N70,,1,,,002056,MSCI_EM,40
TW0002883006,,1,,,2883,MSCI_EM,41
KR7090430000,,1,,,090430,MSCI_EM,42
ID1000109507,,1,,,BBCA,MSCI_EM,43
CNE100002RN8,,1,,,603728,MSCI_EM,44
CNE100002FC6,,1,,,001979,MSCI_EM,45
BRITUBACNOR4,,1,,,ITUB,MSCI_EM,46
MX41BB000000,,1,,,BBAJIOO,MSCI_EM,47
KYG066341028,,1,,,2518,MSCI_EM,48
CNE0000011S1,,1,,,000963,MSCI_EM,49
CL0000000100,,1,,,CENCOSUD,MSCI_EM,50
KYG3066L1014,,1,,,2688,MSCI_EM,51
ID1000095003,,1,,,BMRI,MSCI_EM,52
CNE100001QQ5,,1,,,333,MSCI_EM,53
MYL1295OO004,,1,,,PBBANK,MSCI_EM,54
CNE100001WS9,,1,,,002736,MSCI_EM,55
CNE100000W45,,1,,,600998,MSCI_EM,56
TW0003231007,,1,,,3231,MSCI_EM,57
MYL5398OO002,,1,,,GAMUDA,MSCI_EM,58
TW0002303005,,1,,,2303,MSCI_EM,59
MYL6033OO004,,1,,,PETGAS,MSCI_EM,60
SA0007879089,,1,,,1060,MSCI_EM,61
CNE100001NQ2,,1,,,601238,MSCI_EM,62
PLPKO0000016,,1,,,PKO,MSCI_EM,63
INE121A01024,,1,,,CHOLAFIN,MSCI_EM,64
INE018A01030,,1,,,LT,MSCI_EM,65
CNE000000Q11,,1,,,600061,MSCI_EM,66
TW0002377009,,1,,,2377,MSCI_EM,67
CNE100002GQ4,,1,,,600926,MSCI_EM,68
CNE100003F50,,1,,,601577,MSCI_EM,69
TW0002207008,,1,,,2207,MSCI_EM,70
CNE100003GF5,,1,,,002938,MSCI_EM,71
CNE100000V46,,1,,,300124,MSCI_EM,72
CNE100000GS4,,1,,,300014,MSCI_EM,73
PLPKN0000018,,1,,,PKN,MSCI_EM,74
CNE000000RM5,,1,,,000738,MSCI_EM,75
MX01SI0C0002,,1,,,SITES1A-1,MSCI_EM,76
ZAE000070660,,1,,,SLM,MSCI_EM,77
KR7042700005,,1,,,042700,MSCI_EM,78
SA000A0D9HK3,,1,,,1140,MSCI_EM,79
CLP321331116,,1,,,BCI,MSCI_EM,80
ZAE000134854,,1,,,CLS,MSCI_EM,81
US84265V1052,,1,,,SCCO,MSCI_EM,82
CNE1000030S9,,1,,,603986,MSCI_EM,83
HK0144000764,,1,,,144,MSCI_EM,84
CNE100004447,,1,,,688065,MSCI_EM,85
CNE000000KB3,,1,,,600703,MSCI_EM,86
CNE100000CP9,,1,,,601766,MSCI_EM,87
QA000VSUG130,,1,,,MPHC,MSCI_EM,88
CNE100005GY1,,1,,,301269,MSCI_EM,89
ZAE000026480,,1,,,REM,MSCI_EM,90
TW0004938006,,1,,,4938,MSCI_EM,91
PHY0488F1004,,1,,,ALI,MSCI_EM,92
SA0007879139,,1,,,2020,MSCI_EM,93
CNE000001FP1,,1,,,600348,MSCI_EM,94
CNE1000048D3,,1,,,300999,MSCI_EM,95
CNE100001RQ3,,1,,,002714,MSCI_EM,96
INE028A01039,,1,,,BANKBARODA,MSCI_EM,97
CNE000001H94,,1,,,600988,MSCI_EM,98
AEA002001013,,1,,,ALDAR,MSCI_EM,99
CNE100000759,,1,,,601808,MSCI_EM,100
