Symbol/ISIN,Average cost,Quantity,Price target,Purchase date,ISSUER_TICKER,MSCI_INDEX,#
ES0105046009,,1,,,AENA,MSCI_EUROPE,101
DE000CBK1001,,1,,,CBK,MSCI_EUROPE,102
DE000KBX1006,,1,,,KBX,MSCI_EUROPE,103
DE0006602006,,1,,,G1A,MSCI_EUROPE,104
US73328P1066,,1,,,PAH3,MSCI_EUROPE,105
FR0000125486,,1,,,DG,MSCI_EUROPE,106
DE000SHL1006,,1,,,SHL,MSCI_EUROPE,107
FR0000121709,,1,,,SK,MSCI_EUROPE,108
FR0000121964,,1,,,LI,MSCI_EUROPE,109
ES0113211835,,1,,,BBVA,MSCI_EUROPE,110
NL0014332678,,1,,,JDEP,MSCI_EUROPE,111
SE0009922164,,1,,,ESSITY A,MSCI_EUROPE,112
DE0005810055,,1,,,DB1,MSCI_EUROPE,113
FR0013280286,,1,,,BIM,MSCI_EUROPE,114
FR0000121121,,1,,,RF,MSCI_EUROPE,115
DK0010272202,,1,,,GMAB,MSCI_EUROPE,116
DK0060094928,,1,,,ORSTED,MSCI_EUROPE,117
GB0000811801,,1,,,BDEV,MSCI_EUROPE,118
FR0000039299,,1,,,BOL,MSCI_EUROPE,119
FR0000120644,,1,,,BN,MSCI_EUROPE,120
SE0010100958,,1,,,LATO B,MSCI_EUROPE,121
DE000LEG1110,,1,,,LEG,MSCI_EUROPE,122
SE0015811963,,1,,,INVE B,MSCI_EUROPE,123
FI0009013403,,1,,,KNEBV,MSCI_EUROPE,124
GB0002374006,,1,,,DGE,MSCI_EUROPE,125
CH0466642201,,1,,,HELN,MSCI_EUROPE,126
ES0140609019,,1,,,CABK,MSCI_EUROPE,127
CH0418792922,,1,,,SIKA,MSCI_EUROPE,128
BE0974293251,,1,,,ABI,MSCI_EUROPE,129
SE0015988019,,1,,,NIBE B,MSCI_EUROPE,130
SE0005190238,,1,,,TEL2 B,MSCI_EUROPE,131
GB0030913577,,1,,,BT.A,MSCI_EUROPE,132
JE00B4T3BW64,,1,,,GLEN,MSCI_EUROPE,133
GB0002875804,,1,,,BATS,MSCI_EUROPE,134
IT0004056880,,1,,,AMP,MSCI_EUROPE,135
DE000A1EWWW0,,1,,,ADS,MSCI_EUROPE,136
NL0011872643,,1,,,ASRNL,MSCI_EUROPE,137
ES0113860A34,,1,,,SAB,MSCI_EUROPE,138
CH0010645932,,1,,,GIVN,MSCI_EUROPE,139
NO0010345853,,1,,,AKRBP,MSCI_EUROPE,140
FR0000120503,,1,,,EN,MSCI_EUROPE,141
SE0001662230,,1,,,HUSQ B,MSCI_EUROPE,142
IT0000062957,,1,,,MB,MSCI_EUROPE,143
