Symbol/ISIN,Average cost,Quantity,Price target,Purchase date,ISSUER_TICKER,MSCI_INDEX,#
US23918K1088,,1,,,DVA,MSCI_US,201
US2910111044,,1,,,EMR,MSCI_US,202
US9078181081,,1,,,UNP,MSCI_US,203
US56585A1025,,1,,,MPC,MSCI_US,204
US8835561023,,1,,,TMO,MSCI_US,205
US46120E6023,,1,,,ISRG,MSCI_US,206
US0494681010,,1,,,TEAM,MSCI_US,207
US0028241000,,1,,,ABT,MSCI_US,208
US0584981064,,1,,,BALL,MSCI_US,209
CH0044328745,,1,,,AEX,MSCI_US,210
US0394831020,,1,,,ADM,MSCI_US,211
US2435371073,,1,,,DECK,MSCI_US,212
US1264081035,,1,,,CSX,MSCI_US,213
US1491231015,,1,,,CAT,MSCI_US,214
US0534841012,,1,,,AVB,MSCI_US,215
US5184391044,,1,,,EL,MSCI_US,216
US12504L1098,,1,,,CBRE,MSCI_US,217
US45866F1049,,1,,,ICE,MSCI_US,218
US1598641074,,1,,,CRL,MSCI_US,219
US70432V1026,,1,,,PAYC,MSCI_US,220
US22160K1051,,1,,,COST,MSCI_US,221
US0091581068,,1,,,APD,MSCI_US,222
US3167731005,,1,,,FITB,MSCI_US,223
US2774321002,,1,,,EMN,MSCI_US,224
US5007541064,,1,,,KHC,MSCI_US,225
US5253271028,,1,,,LDOS,MSCI_US,226
US73278L1052,,1,,,POOL,MSCI_US,227
US1344291091,,1,,,CPB,MSCI_US,228
US5745991068,,1,,,MAS,MSCI_US,229
US16411R2085,,1,,,LNG,MSCI_US,230
US7710491033,,1,,,RBLX,MSCI_US,231
US8288061091,,1,,,SPG,MSCI_US,232
US1011211018,,1,,,BXP,MSCI_US,233
US29109X1063,,1,,,AZPN,MSCI_US,234
US37045V1008,,1,,,GM,MSCI_US,235
US29472R1086,,1,,,ELS,MSCI_US,236
US61174X1090,,1,,,MNST,MSCI_US,237
US65249B1098,,1,,,NWSA,MSCI_US,238
US40412C1018,,1,,,HCA,MSCI_US,239
US1713401024,,1,,,CHD,MSCI_US,240
US03769M1062,,1,,,APO,MSCI_US,241
US22788C1053,,1,,,CRWD,MSCI_US,242
US23331A1097,,1,,,DHI,MSCI_US,243
US8581191009,,1,,,STLD,MSCI_US,244
US2788651006,,1,,,ECL,MSCI_US,245
US4364401012,,1,,,HOLX,MSCI_US,246
US23804L1035,,1,,,DDOG,MSCI_US,247
IE00BTN1Y115,,1,,,MDT,MSCI_US,248
US0533321024,,1,,,AZO,MSCI_US,249
US87612G1013,,1,,,TRGP,MSCI_US,250
US90353T1007,,1,,,UBER,MSCI_US,251
US25809K1051,,1,,,DASH,MSCI_US,252
US62944T1051,,1,,,NVR,MSCI_US,253
US5717481023,,1,,,MMC,MSCI_US,254
US09247X1019,,1,,,BLK,MSCI_US,255
GB00BMVP7Y09,,1,,,RPRX,MSCI_US,256
US12769G1004,,1,,,CZR,MSCI_US,257
US6742152076,,1,,,CHRD,MSCI_US,258
US8064071025,,1,,,HSIC,MSCI_US,259
US6687711084,,1,,,GEN,MSCI_US,260
US7185461040,,1,,,PSX,MSCI_US,261
US90364P1057,,1,,,PATH,MSCI_US,262
US9497461015,,1,,,WFC,MSCI_US,263
US0259321042,,1,,,AFG,MSCI_US,264
US4370761029,,1,,,HD,MSCI_US,265
US3635761097,,1,,,AJG,MSCI_US,266
US1729081059,,1,,,CTAS,MSCI_US,267
US6821891057,,1,,,ON,MSCI_US,268
US15677J1088,,1,,,DAY,MSCI_US,269
US46284V1017,,1,,,IRM,MSCI_US,270
US9024941034,,1,,,TSN,MSCI_US,271
US68902V1070,,1,,,OTIS,MSCI_US,272
US98389B1008,,1,,,XEL,MSCI_US,273
US7496851038,,1,,,RPM,MSCI_US,274
US35137L1052,,1,,,FOXA,MSCI_US,275
US3379321074,,1,,,FE,MSCI_US,276
US0326541051,,1,,,ADI,MSCI_US,277
US6556631025,,1,,,NDSN,MSCI_US,278
US96145D1054,,1,,,WRK,MSCI_US,279
US22822V1017,,1,,,CCI,MSCI_US,280
US1912161007,,1,,,KO,MSCI_US,281
US3755581036,,1,,,GILD,MSCI_US,282
US64110L1061,,1,,,NFLX,MSCI_US,283
US74624M1027,,1,,,PSTG,MSCI_US,284
US5132721045,,1,,,LW,MSCI_US,285
US0268747849,,1,,,AIG,MSCI_US,286
US6098391054,,1,,,MPWR,MSCI_US,287
US2855121099,,1,,,EA,MSCI_US,288
US92840M1027,,1,,,VST,MSCI_US,289
US7010941042,,1,,,PH,MSCI_US,290
US0905722072,,1,,,BIO,MSCI_US,291
US2533931026,,1,,,DKS,MSCI_US,292
US1255231003,,1,,,CI,MSCI_US,293
US4485791028,,1,,,H,MSCI_US,294
US8425871071,,1,,,SO,MSCI_US,295
US9581021055,,1,,,WDC,MSCI_US,296
US3030751057,,1,,,FDS,MSCI_US,297
US2971781057,,1,,,ESS,MSCI_US,298
US98980L1017,,1,,,ZM,MSCI_US,299
US4404521001,,1,,,HRL,MSCI_US,300
