Symbol/ISIN,Average cost,Quantity,Price target,Purchase date,ISSUER_TICKER,MSCI_INDEX,#
JP3228600007,,1,,,9503,MSCI_WORLD,301
US25278X1090,,1,,,FANG,MSCI_WORLD,302
DE0005439004,,1,,,CON,MSCI_WORLD,303
US81762P1021,,1,,,NOW,MSCI_WORLD,304
JP3967200001,,1,,,4755,MSCI_WORLD,305
US5486611073,,1,,,LOW,MSCI_WORLD,306
JP3362700001,,1,,,9104,MSCI_WORLD,307
ES0125220311,,1,,,ANA,MSCI_WORLD,308
CA2918434077,,1,,,EMP.A,MSCI_WORLD,309
SE0011090018,,1,,,HOLM B,MSCI_WORLD,310
US36266G1076,,1,,,GEHC,MSCI_WORLD,311
FR0010220475,,1,,,ALO,MSCI_WORLD,312
JP3404600003,,1,,,8053,MSCI_WORLD,313
US23918K1088,,1,,,DVA,MSCI_WORLD,314
CA1367178326,,1,,,CU,MSCI_WORLD,315
GB0007188757,,1,,,RIO,MSCI_WORLD,316
JP3165700000,,1,,,9613,MSCI_WORLD,317
AU000000SUN6,,1,,,SUN,MSCI_WORLD,318
JP3240400006,,1,,,2801,MSCI_WORLD,319
US60855R1005,,1,,,MOH,MSCI_WORLD,320
BE0974349814,,1,,,WDP,MSCI_WORLD,321
US00766T1007,,1,,,ACM,MSCI_WORLD,322
GB00B033F229,,1,,,CNA,MSCI_WORLD,323
JP3291200008,,1,,,3038,MSCI_WORLD,324
SE0017486889,,1,,,ATCO A,MSCI_WORLD,325
DE000A2E4K43,,1,,,DHER,MSCI_WORLD,326
JP3888300005,,1,,,4183,MSCI_WORLD,327
JP3371200001,,1,,,4063,MSCI_WORLD,328
JE00B8KF9B49,,1,,,WPP,MSCI_WORLD,329
HK0004000045,,1,,,4,MSCI_WORLD,330
US98138H1014,,1,,,WDAY,MSCI_WORLD,331
JP3278600006,,1,,,9009,MSCI_WORLD,332
US0259321042,,1,,,AFG,MSCI_WORLD,333
SE0000202624,,1,,,GETI B,MSCI_WORLD,334
US1220171060,,1,,,BURL,MSCI_WORLD,335
US0584981064,,1,,,BALL,MSCI_WORLD,336
AU000000ALL7,,1,,,ALL,MSCI_WORLD,337
DK0060094928,,1,,,ORSTED,MSCI_WORLD,338
US98389B1008,,1,,,XEL,MSCI_WORLD,339
NL0011821202,,1,,,INGA,MSCI_WORLD,340
US8832031012,,1,,,TXT,MSCI_WORLD,341
SGXE62145532,,1,,,9CI,MSCI_WORLD,342
US9024941034,,1,,,TSN,MSCI_WORLD,343
US8326964058,,1,,,SJM,MSCI_WORLD,344
US81141R1005,,1,,,S2EA34,MSCI_WORLD,345
US14316J1088,,1,,,CG,MSCI_WORLD,346
GB00BD6K4575,,1,,,CPG,MSCI_WORLD,347
DE000LEG1110,,1,,,LEG,MSCI_WORLD,348
US4370761029,,1,,,HD,MSCI_WORLD,349
US1011211018,,1,,,BXP,MSCI_WORLD,350
FI4000552500,,1,,,SAMPO,MSCI_WORLD,351
JP3183200009,,1,,,8697,MSCI_WORLD,352
US2283681060,,1,,,CCK,MSCI_WORLD,353
US6092071058,,1,,,MDLZ,MSCI_WORLD,354
FR0010533075,,1,,,GET,MSCI_WORLD,355
IT0000062072,,1,,,G,MSCI_WORLD,356
NL0000009538,,1,,,PHIA,MSCI_WORLD,357
JP3659000008,,1,,,9021,MSCI_WORLD,358
US78410G1040,,1,,,SBAC,MSCI_WORLD,359
JP3635000007,,1,,,8015,MSCI_WORLD,360
US09260D1072,,1,,,BX,MSCI_WORLD,361
NL0000009082,,1,,,KPN,MSCI_WORLD,362
SE0012853455,,1,,,EQT,MSCI_WORLD,363
JP3955000009,,1,,,6841,MSCI_WORLD,364
ES0148396007,,1,,,ITX,MSCI_WORLD,365
CA67077M1086,,1,,,NTR,MSCI_WORLD,366
SG1J26887955,,1,,,S68,MSCI_WORLD,367
JP3500610005,,1,,,8308,MSCI_WORLD,368
US50212V1008,,1,,,LPLA,MSCI_WORLD,369
US8887871080,,1,,,TOST,MSCI_WORLD,370
JP3205800000,,1,,,4452,MSCI_WORLD,371
FR0000121667,,1,,,EL,MSCI_WORLD,372
US92556H2067,,1,,,PARA,MSCI_WORLD,373
US74834L1008,,1,,,DGX,MSCI_WORLD,374
CA9528451052,,1,,,WFG,MSCI_WORLD,375
CH0044328745,,1,,,AEX,MSCI_WORLD,376
US15677J1088,,1,,,DAY,MSCI_WORLD,377
US4663131039,,1,,,JBL,MSCI_WORLD,378
US1156372096,,1,,,BF.B,MSCI_WORLD,379
US5801351017,,1,,,MCD,MSCI_WORLD,380
US12514G1085,,1,,,CDW,MSCI_WORLD,381
US76954A1034,,1,,,RIVN,MSCI_WORLD,382
CH0013841017,,1,,,LONN,MSCI_WORLD,383
AU000000CAR3,,1,,,CAR,MSCI_WORLD,384
US7181721090,,1,,,PM,MSCI_WORLD,385
GB00B082RF11,,1,,,RTO,MSCI_WORLD,386
AU000000SEK6,,1,,,SEK,MSCI_WORLD,387
CH0010570767,,1,,,LISN,MSCI_WORLD,388
IE00BLP1HW54,,1,,,AON,MSCI_WORLD,389
US03076C1062,,1,,,AMP,MSCI_WORLD,390
NO0010310956,,1,,,SALM,MSCI_WORLD,391
JP3906000009,,1,,,6479,MSCI_WORLD,392
US79589L1061,,1,,,IOT,MSCI_WORLD,393
AU000000REA9,,1,,,REA,MSCI_WORLD,394
BMG0112X1056,,1,,,AGN,MSCI_WORLD,395
AU000000TCL6,,1,,,TCL,MSCI_WORLD,396
US49456B1017,,1,,,KMI,MSCI_WORLD,397
US4278661081,,1,,,HSY,MSCI_WORLD,398
IL0010811243,,1,,,ESLT,MSCI_WORLD,399
PA1436583006,,1,,,CCL,MSCI_WORLD,400
