Ticker,ISIN,Name,Trading Region,Industry,Sector,Total Employees (FY),Market Cap,Enterprise Value,Price (1D Ago),Market Value,Shrs Out,Shares Out,Common Shares Outstanding (FY),Total Assets (FY),Total Liabilities (FY),Total Capital (FY),Total Equity (FY),Leverage Ratio % (FY),Total Debt (FY),Cash And Equivalents (FY),Total Debt / Equity (FY),Total Liabilities / Total Assets (FY),Return on Assets (ROA) % (FY),Return on Capital (ROC) % (FY),Return on Common Equity (ROCE) % (FY),Total Debt to Capital % (FY),Return On Equity % (FY),Total Revenues (FY),Gross Profit (FY),Operating Income (FY),Net Income - (IS) (FY),P/E (LTM),P/TBV (LTM),Book Value / Share (FY),EPS 5Y Fwd Growth (NTM),ROA - Est High (FY5E),ROE - Est High (FY5E),EV/Sales (EST FY5),EV/EBIT (EST FY6),Total Equity/CAGR (5Y FY),Total Assets/CAGR (5Y FY),Net Income/CAGR (5Y FY),Unit
HD,US4370761029,The Home Depot Inc.,United States and Canada,Specialty Retail,Consumer Discretionary,463100,338626.33,386368.33,341.82,341.49,991614186,,992,76530,75486,54145,1044,,53101,3760,50.863,0.9864,0.1772,0.2537,11.6216,0.9807,11.6216,152669,50960,21689,15143,22.9,,1.05,0.0636,0.246,,2.1,,,0.117,0.0637,USD
MCD,US5801351017,McDonald's Corporation,United States and Canada,Hotels Restaurants and Leisure,Consumer Discretionary,100000,186058.38,236165.38,257.83,258.17,720681656,,722.7,56146.8,60853.5,48446.2,-4706.7,,53152.9,4579.3,,1.0838,0.1377,0.1609,,1.0972,,25493.7,14562.5,11745.3,8468.8,21.9,,-6.51,0.0629,0.194,,7,12.9,,0.1134,0.0741,USD
NOW,US81762P1021,ServiceNow Inc.,United States and Canada,Software,Information Technology,22668,158992.37,152489.37,753.91,774.13,205382000,,204.72,17387,9759,9912,7628,,2284,1897,0.2994,0.5613,0.031,0.0555,0.2735,0.2304,0.2735,8971,7050,762,1731,82.9,23.9,37.26,0.2962,,,7,,,0.3499,,USD
PM,US7181721090,Philip Morris International Inc.,United States and Canada,Tobacco,Consumer Staples,82700,157896.35,206132.35,101.96,101.57,1554556966,,1552.42,65304,74750,39212,-9446,,48658,3060,,1.1446,0.125,0.2069,,1.2409,,35174,22296,12697,7813,19.8,,-7.23,0.0906,0.2131,3.8162,4.1,,,0.1041,-0.0025,USD
ITX,ES0148396007,Industria de Diseño Textil S.A.,Europe,Specialty Retail,Consumer Discretionary,114386,154853.89,148051.66,46.61,49.74,3113069581,,3113.07,35370.07,15195.03,26190.17,20175.04,,6015.13,7571.04,0.2981,0.4296,0.1366,0.1834,0.3019,0.2297,0.3022,38840.63,21632.63,7407.89,5814.15,26.4,9,6.47,0.0954,0.176,0.345,2.7,13.1,,0.0859,0.0934,EUR
BX,US09260D1072,Blackstone Inc.,United States and Canada,Capital Markets,Financials,4735,151012.65,,124.16,124.12,759176426,,719.36,40287.53,22212.32,31023.72,18075.21,,12948.5,2955.87,0.7164,0.5513,0.059,,0.1922,0.4174,0.1295,7683.9,7156.38,3134.64,1390.88,43.8,19.3,8.99,0.2505,0.169,0.975,,,,0.0685,-0.0204,USD
LOW,US5486611073,Lowe's Companies Inc.,United States and Canada,Specialty Retail,Consumer Discretionary,226000,125249.79,162320.79,218.78,219.8,569835275,,574,41795,56845,25171,-15050,,40221,921,,1.3601,0.169,0.2948,,1.5979,,86377,28844,11557,7726,17.6,,-26.22,0.0279,0.192,,1.7,11.7,,0.0391,0.2727,USD
RIO,GB0007188757,Rio Tinto Group,Europe,Metals and Mining,Materials,57000,111809.99,117124.09,52.67,65.41,1622698696,,1251.02,103549,47208,70693,56341,,14352,9673,0.2547,0.4559,0.0928,0.1369,0.1912,0.203,0.1825,54041,17298,14867,10058,11.2,2.3,33.67,-0.0066,0.094,0.155,2.2,,,0.0263,-0.0591,GBP
CB,CH0044328745,Chubb Limited,United States and Canada,Insurance,Financials,40000,109954.6,132712.6,260.01,262.03,419625986,,405.27,230682,166991,83458,63691,,19767,2449,0.3104,0.7239,0.0275,0.0773,0.1641,0.2368,0.1579,49695,13708,9448,9028,11.6,3.2,146.83,0.0546,0.031,,,,,0.0658,0.1791,USD
EL,FR0000121667,EssilorLuxottica Société anonyme,Europe,Health Care Equipment and Supplies,Health Care,151292,98961.29,109397.94,206.4,217.25,455514437,,452.04,66817.18,23880.55,55805.92,42936.63,,12869.29,2824.02,0.2997,0.3574,0.0337,0.0405,0.0605,0.2306,0.063,28035.99,17480.68,3608.96,2527.05,38.7,,93.39,0.1135,,,3.1,14.4,,0.0457,0.1615,EUR
MDLZ,US6092071058,Mondelez International Inc.,United States and Canada,Food Products,Consumer Staples,91000,89334.51,107558.51,66.64,66.6,1341359018,,,71391,43025,48476,28366,,20110,1810,0.7089,0.6027,0.0524,0.0754,0.1796,0.4148,0.1797,36016,13764,5971,4959,21.2,,21.01,0.0648,0.0742,0.187,2.4,13.7,,0.0262,0.0838,USD
