Ticker,ISIN,Name,Trading Region,Industry,Sector,Total Employees (FY),Market Cap,Enterprise Value,Price (1D Ago),Market Value,Shrs Out,Shares Out,Common Shares Outstanding (FY),Total Assets (FY),Total Liabilities (FY),Total Capital (FY),Total Equity (FY),Leverage Ratio % (FY),Total Debt (FY),Cash And Equivalents (FY),Total Debt / Equity (FY),Total Liabilities / Total Assets (FY),Return on Assets (ROA) % (FY),Return on Capital (ROC) % (FY),Return on Common Equity (ROCE) % (FY),Total Debt to Capital % (FY),Return On Equity % (FY),Total Revenues (FY),Gross Profit (FY),Operating Income (FY),Net Income - (IS) (FY),P/E (LTM),P/TBV (LTM),Book Value / Share (FY),EPS 5Y Fwd Growth (NTM),ROA - Est High (FY5E),ROE - Est High (FY5E),EV/Sales (EST FY5),EV/EBIT (EST FY6),Total Equity/CAGR (5Y FY),Total Assets/CAGR (5Y FY),Net Income/CAGR (5Y FY),Unit
SCCO,US84265V1052,Southern Copper Corporation,United States and Canada,Metals and Mining,Materials,15810,84153.99,89649.29,108.7900,107.73,781156476.00,,781.15,16725.30,9244.10,14511.20,7481.20,,7030.00,1151.50,0.9397,0.5527,0.1541,0.1761,0.3129,0.4845,0.3116,9895.80,5323.50,4192.30,2425.20,35.8,11.4,9.50,0.2280,,,,,,0.0320,0.0947,USD
BBCA,ID1000109507,PT Bank Central Asia Tbk,Asia / Pacific,Banks,Financials,27273,73292.99,,9500.0000,0.59,123275050000.00,,123275.05,91459.28,75705.99,,15753.29,,230.58,2064.00,,,0.0357,,0.2099,,0.2099,6343.63,6216.00,3908.79,3159.21,23.2,5.2,0.13,0.0882,,,,,0.0983,0.1129,0.1347,IDR
000333,CNE100001QQ5,Midea Group Co. Ltd.,Asia / Pacific,Household Durables,Consumer Discretionary,198613,60513.75,58149.66,64.1000,8.82,6861749026.00,,,68477.30,43920.45,35078.55,24556.86,,10521.70,11506.92,0.4285,0.6414,0.0488,0.0946,0.2201,0.2999,0.2069,52415.95,13856.91,4995.11,4750.76,12.6,3.5,3.32,0.1100,0.0790,0.1790,0.9,8.7,,0.1301,0.1076,CNY
500510,INE018A01030,Larsen & Toubro Limited,Asia / Pacific,Construction and Engineering,Industrials,54303,58719.07,68769.44,3605.8500,42.72,1374668619.00,,1374.67,40759.30,28452.12,26267.22,12307.18,,13960.05,1435.16,1.1343,0.6981,0.0446,0.0674,0.1476,0.5315,0.1499,27025.35,10077.92,2868.70,1567.25,38.2,8.0,7.54,0.2288,,,,,,0.0406,0.0796,INR
ITUB3,BRITUBACNOR4,Itaú Unibanco Holding S.A.,Latin America and Caribbean,Banks,Financials,,53821.47,,27.9600,5.10,9802082195.00,,4958.29,524231.62,483199.69,,41031.93,,178741.93,8365.73,,,0.0139,,0.1850,,0.1801,25669.64,25669.64,8559.50,6824.23,8.2,1.7,4.00,0.0999,0.0150,0.2060,,,0.0576,0.1037,0.0586,BRL
BMRI,ID1000095003,PT Bank Mandiri (Persero) Tbk,Asia / Pacific,Banks,Financials,38965,34148.42,,5850.0000,0.37,93333333333.00,,,141219.76,122546.41,,18673.35,,12529.17,4092.34,,,0.0288,,0.2245,,0.2225,8278.42,8157.40,4852.36,3576.26,9.8,2.3,0.18,0.0826,,,,,0.0922,0.1258,0.1709,IDR
002714,CNE100001RQ3,Muyuan Foods Co. Ltd.,Asia / Pacific,Food Products,Consumer Staples,131276,32234.67,43755.25,43.2000,5.94,5423482468.00,,,27530.30,17099.37,23177.59,10430.93,,12746.66,2737.34,1.2220,0.6211,-0.0028,-0.0033,-0.0633,0.5500,-0.0514,15619.03,456.97,-120.55,-600.65,,3.9,1.66,,0.0770,0.1560,1.9,,,0.4562,,CNY
2020,KYG040111059,ANTA Sports Products Limited,Asia / Pacific,Textiles Apparel and Luxury Goods,Consumer Discretionary,60500,27640.55,25860.31,77.9000,9.76,2832623500.00,,2832.62,12993.89,5102.71,10915.92,7891.18,,3024.74,2145.45,0.3833,0.3927,0.1187,0.1421,0.2384,0.2771,0.2403,8785.26,5498.61,2159.97,1442.14,19.2,4.0,2.56,0.1695,0.1620,0.2320,1.8,7.0,,0.3049,0.2006,HKD
500228,INE019A01038,JSW Steel Limited,Asia / Pacific,Metals and Mining,Materials,,27492.70,36808.54,919.4000,11.30,2432589945.00,,2437.15,27386.47,17812.40,20134.39,9574.07,,10560.32,1481.91,1.1030,0.6504,0.0571,0.0792,0.1229,0.5245,0.1222,21002.80,6984.81,2407.92,1057.54,26.0,3.1,3.82,0.2095,,,,,,0.1471,0.0290,INR
601985,CNE1000022N7,China National Nuclear Power Co. Ltd.,Asia / Pacific,Independent Power and Renewable Electricity Producers,Utilities,18574,27045.15,81647.70,10.5500,1.43,18883284867.00,,,75976.68,53040.27,69080.83,22936.40,,46144.43,1377.02,2.0118,0.6981,0.0368,0.0405,0.1183,0.6680,0.1249,10560.62,4680.80,4164.60,1496.78,18.5,2.3,0.67,0.0800,,,,,,0.1076,0.1753,CNY
601766,CNE100000CP9,CRRC Corporation Limited,Asia / Pacific,Machinery,Industrials,154292,26690.73,23589.19,7.2000,0.99,28698864088.00,,4371.07,66470.14,38782.22,31633.48,27687.92,,3945.56,7879.88,0.1425,0.5835,0.0191,0.0394,0.0741,0.1247,0.0752,33004.81,7295.06,1969.28,1650.03,15.2,1.3,0.79,,,,,,,0.0570,0.0071,CNY
2303,TW0002303005,United Microelectronics Corporation,Asia / Pacific,Semiconductors and Semiconductor Equipment,Information Technology,,21691.86,19946.02,56.4000,1.73,12528588907.00,,12529.82,17804.97,6608.24,13808.16,11196.72,,2611.44,4317.99,0.2332,0.3711,0.0672,0.0900,0.1793,0.1891,0.1805,7249.10,2532.54,1877.07,1944.39,12.6,1.9,0.89,0.0033,0.1280,0.1910,1.8,,,0.0843,0.5071,TWD
1060,SA0007879089,Saudi Awwal Bank,Africa / Middle East,Banks,Financials,4195,21177.52,,38.3000,10.31,2054794522.00,,2054.79,95152.65,78637.73,,16514.92,,4700.03,2721.03,,,0.0209,,0.1244,,0.1202,3241.11,3241.11,2143.73,1868.25,11.0,1.6,7.52,0.0610,0.0200,0.1360,,,0.1370,0.1535,0.2086,SAR
300999,CNE1000048D3,Yihai Kerry Arawana Holdings Co. Ltd,Asia / Pacific,Food Products,Consumer Staples,34510,20706.54,25087.87,28.1300,3.82,5421591536.00,,,33601.96,20081.59,29851.49,13520.37,,16331.12,8354.18,1.2079,0.5976,0.0041,0.0045,0.0316,0.5471,0.0294,35436.86,1694.60,212.94,401.22,51.9,2.1,2.38,0.3221,,,,,,0.0708,-0.1110,CNY
600188,CNE000000WV6,Yankuang Energy Group Company Limited,Asia / Pacific,Oil Gas and Consumable Fuels,Energy,79242,19654.61,34090.92,22.4800,3.09,8570859540.00,,9082.19,49913.80,33241.91,30704.86,16671.88,,14032.97,5297.01,0.8417,0.6660,0.0652,0.1062,0.2334,0.4570,0.2037,21136.81,8584.32,5380.07,2837.43,9.1,,0.87,-0.0984,,,,,,0.1171,0.1879,CNY
PKN,PLPKN0000018,Orlen S.A.,Europe,Oil Gas and Consumable Fuels,Energy,66554,19470.20,22690.61,67.2700,16.78,1160007149.00,,1160.01,67147.40,28212.90,45517.63,38934.50,,6583.13,3375.95,0.1691,0.4202,0.1003,0.1650,0.1406,0.1446,0.1399,94747.99,15484.33,11777.95,5256.34,5.5,0.6,33.32,,,,0.4,4.8,,0.3272,0.3006,PLN
PKO,PLPKO0000016,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,Europe,Banks,Financials,,19432.66,,62.2600,15.55,1250000000.00,,937.50,127472.74,115977.18,,11495.56,,8856.72,7953.64,,,0.0118,,0.1359,,0.1360,4423.15,4423.15,2169.64,1398.47,12.7,1.8,9.20,,,,,,0.0295,0.0911,0.0802,PLN
300124,CNE100000V46,Shenzhen Inovance Technology Co.Ltd,Asia / Pacific,Machinery,Industrials,23685,18885.22,18317.98,51.8900,7.06,2675737468.00,,,6897.57,3375.21,4129.93,3522.36,,607.57,1195.70,0.1725,0.4893,0.0594,0.0963,0.2141,0.1471,0.2117,4285.82,1409.46,590.62,668.08,28.3,6.1,1.28,0.1985,0.1250,0.2340,1.7,,,0.3651,0.3237,CNY
SBK,ZAE000109815,Standard Bank Group Limited,Africa / Middle East,Banks,Financials,50451,18404.63,,206.9600,11.11,1657134469.00,,1657.07,167608.56,152468.96,,15139.60,,7616.49,2544.24,,,0.0169,,0.1814,,0.1878,8821.56,8821.56,3458.35,2513.41,7.7,1.4,8.42,,,,,,0.0683,0.0759,0.1028,ZAR
300274,CNE1000018M7,Sungrow Power Supply Co. Ltd.,Asia / Pacific,Electrical Equipment,Industrials,13697,17876.74,16806.21,64.1800,8.72,2050099338.00,,,11676.37,7526.56,5393.92,4149.81,,1244.11,2540.31,0.2998,0.6446,0.0984,0.2172,0.4071,0.2307,0.3907,10179.31,2914.07,1602.15,1329.93,13.1,4.5,1.90,0.1400,0.0660,0.1430,0.9,,,0.3499,0.6343,CNY
BANKBARODA,INE028A01039,Bank of Baroda Limited,Asia / Pacific,Banks,Financials,75515,17340.11,,280.9500,3.35,5171362179.00,,5171.36,198593.15,184104.10,,14489.05,,12236.30,5716.29,,,0.0119,,0.1670,,0.1664,7217.05,7217.05,3097.20,2252.31,7.7,1.2,2.78,0.0834,,,,,0.1689,0.1509,0.7636,INR
PBBANK,MYL1295OO004,Public Bank Berhad,Asia / Pacific,Banks,Financials,19827,16451.48,,4.0100,0.85,19410691735.00,,19410.69,111258.36,98973.24,,12285.12,,3360.12,2082.70,,,0.0133,,0.1268,,0.1233,2821.50,2821.50,1859.50,1448.87,11.8,1.5,0.61,0.0854,,,,,0.0602,0.0400,0.0353,MYR
511243,INE121A01024,Cholamandalam Investment and Finance Company Limited,Asia / Pacific,Consumer Finance,Financials,,14517.62,,1429.8500,17.28,840191842.00,,840.09,18804.23,16452.81,18512.41,2351.42,,16160.99,527.30,6.8729,0.8750,0.0253,,0.2015,0.8730,0.2015,1031.05,1031.05,552.69,410.45,35.1,6.2,2.80,0.2110,,,,,,0.2220,0.2334,INR
