Ticker,ISIN,Name,Trading Region,Industry,Sector,Total Employees (FY),Market Cap,Enterprise Value,Price (1D Ago),Market Value,Shrs Out,Shares Out,Common Shares Outstanding (FY),Total Assets (FY),Total Liabilities (FY),Total Capital (FY),Total Equity (FY),Leverage Ratio % (FY),Total Debt (FY),Cash And Equivalents (FY),Total Debt / Equity (FY),Total Liabilities / Total Assets (FY),Return on Assets (ROA) % (FY),Return on Capital (ROC) % (FY),Return on Common Equity (ROCE) % (FY),Total Debt to Capital % (FY),Return On Equity % (FY),Total Revenues (FY),Gross Profit (FY),Operating Income (FY),Net Income - (IS) (FY),P/E (LTM),P/TBV (LTM),Book Value / Share (FY),EPS 5Y Fwd Growth (NTM),ROA - Est High (FY5E),ROE - Est High (FY5E),EV/Sales (EST FY5),EV/EBIT (EST FY6),Total Equity/CAGR (5Y FY),Total Assets/CAGR (5Y FY),Net Income/CAGR (5Y FY),Unit
NOVOB,DK0062498333,Novo Nordisk A/S,Europe,Pharmaceuticals,Health Care,63845,638073.00,640602.03,1007.0000,143.86,4435250146.00,,,46578.03,30795.45,19782.40,15782.58,,3999.82,2131.58,0.2534,0.6612,0.2339,0.5353,0.8807,0.2022,0.8807,34399.81,29102.71,15401.50,12394.16,50.0,112.3,3.54,0.2084,0.4007,1.4011,9.3,17.1,,0.2321,0.1672,DKK
NESN,CH0038863350,Nestlé S.A.,Europe,Food Products,Consumer Staples,270000,268724.80,324394.09,92.9000,102.52,2621306291.00,,2621.31,150461.31,107199.08,108940.89,43262.23,,65678.65,5725.97,1.5182,0.7125,0.0748,0.1037,0.2884,0.6029,0.2907,110989.44,51152.09,18616.54,13326.91,20.4,,16.21,0.0650,0.1070,0.2998,2.6,,,-0.0158,0.0203,CHF
NOVN,CH0012005267,Novartis AG,Europe,Pharmaceuticals,Health Care,76057,216687.76,234413.82,95.9300,106.20,2040406387.00,,2044.03,99945.00,53195.00,73189.00,46750.00,,26439.00,13393.00,0.5655,0.5322,0.0727,0.0984,0.1616,0.3612,0.1615,46660.00,34640.00,12642.00,14850.00,24.1,,22.83,0.0890,0.1640,,4.4,11.0,,-0.0724,0.0332,CHF
SIE,DE0007236101,Siemens Aktiengesellschaft,Europe,Industrial Conglomerates,Industrials,320000,145321.35,196436.51,169.2200,185.72,782460941.00,,789.92,153363.99,97268.21,105356.80,56095.78,,49261.02,10660.75,0.8782,0.6342,0.0390,0.0563,0.1641,0.4676,0.1578,82216.94,31348.98,9771.65,8403.64,19.1,34.5,63.96,0.0820,0.0660,0.1670,1.8,9.5,,0.0087,0.0648,EUR
ABI,BE0974293251,Anheuser-Busch InBev SA/NV,Europe,Beverages,Consumer Staples,154540,119896.15,198033.90,55.4600,59.03,2031018243.00,,1701.78,219340.00,126664.00,171017.00,92676.00,,78341.00,10332.00,0.8453,0.5775,0.0416,0.0536,0.0688,0.4581,0.0779,59380.00,31984.00,14382.00,5341.00,25.3,,41.26,0.1260,0.0510,0.1250,2.7,,,-0.0127,0.0409,EUR
ALV,DE0008404005,Allianz SE,Europe,Insurance,Financials,157883,107782.21,81105.20,259.1000,277.61,388248651.00,,391.46,1085420.62,1015228.53,106360.12,70192.10,,36168.03,20887.61,0.5153,0.9353,0.0079,0.0805,0.1488,0.3401,0.1477,108277.77,14063.81,13310.89,9429.23,11.5,2.4,164.92,0.0785,0.0140,0.1780,0.4,3.7,,0.0184,0.0274,EUR
CFR,CH0210483332,Compagnie Financière Richemont SA,Europe,Textiles Apparel and Luxury Goods,Consumer Discretionary,37117,93270.13,90005.55,142.1500,157.99,590353948.00,,,46056.98,23789.79,39926.62,22267.18,,17659.44,11557.14,0.7931,0.5165,0.0728,0.0848,0.1938,0.4423,0.1926,22246.68,15146.22,5248.73,2548.83,22.2,4.5,37.51,0.1175,0.0950,0.1680,3.1,11.5,,0.0877,-0.0323,CHF
ATCOA,SE0017486889,Atlas Copco AB,Europe,Machinery,Industrials,52778,86891.87,88636.70,199.5500,18.69,4872869024.00,,,18116.08,9042.37,12317.34,9073.71,,3243.63,1079.62,0.3575,0.4991,0.1343,0.1981,0.3271,0.2633,0.3271,17122.43,7449.07,3780.91,2780.62,32.4,29.0,1.86,0.1026,0.1840,0.3210,4.0,15.2,,0.1282,-0.2338,SEK
INVEB,SE0015811963,Investor AB (publ),Europe,Financial Services,Financials,18262,83077.49,87877.86,289.1000,27.21,3063437598.00,,,83145.91,12001.00,80022.97,71144.91,,8878.05,1863.73,0.1248,0.1443,0.1067,0.1108,0.1923,0.1109,0.1917,18376.89,15243.14,13224.31,12598.57,5.5,1.3,23.21,,,,,,,0.1505,,SEK
EQNR,NO0010096985,Equinor ASA,Europe,Oil Gas and Consumable Fuels,Energy,23449,82486.20,74011.06,298.7500,28.32,2913054682.00,,2944.73,143580.00,95080.00,80296.00,48500.00,,31796.00,9641.00,0.6556,0.6622,0.1494,0.2706,0.2320,0.3960,0.2323,106848.00,48091.00,36038.00,11885.00,8.8,1.9,16.47,-0.0338,0.0440,0.1050,,,,0.0500,0.0954,NOK
