Ticker,ISIN,Name,Trading Region,Industry,Sector,Total Employees (FY),Market Cap,Enterprise Value,Price (1D Ago),Market Value,Shrs Out,Shares Out,Common Shares Outstanding (FY),Total Assets (FY),Total Liabilities (FY),Total Capital (FY),Total Equity (FY),Leverage Ratio % (FY),Total Debt (FY),Cash And Equivalents (FY),Total Debt / Equity (FY),Total Liabilities / Total Assets (FY),Return on Assets (ROA) % (FY),Return on Capital (ROC) % (FY),Return on Common Equity (ROCE) % (FY),Total Debt to Capital % (FY),Return On Equity % (FY),Total Revenues (FY),Gross Profit (FY),Operating Income (FY),Net Income - (IS) (FY),P/E (LTM),P/TBV (LTM),Book Value / Share (FY),EPS 5Y Fwd Growth (NTM),ROA - Est High (FY5E),ROE - Est High (FY5E),EV/Sales (EST FY5),EV/EBIT (EST FY6),Total Equity/CAGR (5Y FY),Total Assets/CAGR (5Y FY),Net Income/CAGR (5Y FY),Unit
HD,US4370761029,The Home Depot Inc.,United States and Canada,Specialty Retail,Consumer Discretionary,463100,338626.33,386368.33,341.8200,341.49,991614186.00,,992.00,76530.00,75486.00,54145.00,1044.00,,53101.00,3760.00,50.8630,0.9864,0.1772,0.2537,11.6216,0.9807,11.6216,152669.00,50960.00,21689.00,15143.00,22.9,,1.05,0.0636,0.2460,,2.1,,,0.1170,0.0637,USD
MCD,US5801351017,McDonald's Corporation,United States and Canada,Hotels Restaurants and Leisure,Consumer Discretionary,100000,186058.38,236165.38,257.8300,258.17,720681656.00,,722.70,56146.80,60853.50,48446.20,-4706.70,,53152.90,4579.30,,1.0838,0.1377,0.1609,,1.0972,,25493.70,14562.50,11745.30,8468.80,21.9,,-6.51,0.0629,0.1940,,7.0,12.9,,0.1134,0.0741,USD
NOW,US81762P1021,ServiceNow Inc.,United States and Canada,Software,Information Technology,22668,158992.37,152489.37,753.9100,774.13,205382000.00,,204.72,17387.00,9759.00,9912.00,7628.00,,2284.00,1897.00,0.2994,0.5613,0.0310,0.0555,0.2735,0.2304,0.2735,8971.00,7050.00,762.00,1731.00,82.9,23.9,37.26,0.2962,,,7.0,,,0.3499,,USD
PM,US7181721090,Philip Morris International Inc.,United States and Canada,Tobacco,Consumer Staples,82700,157896.35,206132.35,101.9600,101.57,1554556966.00,,1552.42,65304.00,74750.00,39212.00,-9446.00,,48658.00,3060.00,,1.1446,0.1250,0.2069,,1.2409,,35174.00,22296.00,12697.00,7813.00,19.8,,-7.23,0.0906,0.2131,3.8162,4.1,,,0.1041,-0.0025,USD
ITX,ES0148396007,Industria de Diseño Textil S.A.,Europe,Specialty Retail,Consumer Discretionary,114386,154853.89,148051.66,46.6100,49.74,3113069581.00,,3113.07,35370.07,15195.03,26190.17,20175.04,,6015.13,7571.04,0.2981,0.4296,0.1366,0.1834,0.3019,0.2297,0.3022,38840.63,21632.63,7407.89,5814.15,26.4,9.0,6.47,0.0954,0.1760,0.3450,2.7,13.1,,0.0859,0.0934,EUR
BX,US09260D1072,Blackstone Inc.,United States and Canada,Capital Markets,Financials,4735,151012.65,,124.1600,124.12,759176426.00,,719.36,40287.53,22212.32,31023.72,18075.21,,12948.50,2955.87,0.7164,0.5513,0.0590,,0.1922,0.4174,0.1295,7683.90,7156.38,3134.64,1390.88,43.8,19.3,8.99,0.2505,0.1690,0.9750,,,,0.0685,-0.0204,USD
LOW,US5486611073,Lowe's Companies Inc.,United States and Canada,Specialty Retail,Consumer Discretionary,226000,125249.79,162320.79,218.7800,219.80,569835275.00,,574.00,41795.00,56845.00,25171.00,-15050.00,,40221.00,921.00,,1.3601,0.1690,0.2948,,1.5979,,86377.00,28844.00,11557.00,7726.00,17.6,,-26.22,0.0279,0.1920,,1.7,11.7,,0.0391,0.2727,USD
RIO,GB0007188757,Rio Tinto Group,Europe,Metals and Mining,Materials,57000,111809.99,117124.09,52.6700,65.41,1622698696.00,,1251.02,103549.00,47208.00,70693.00,56341.00,,14352.00,9673.00,0.2547,0.4559,0.0928,0.1369,0.1912,0.2030,0.1825,54041.00,17298.00,14867.00,10058.00,11.2,2.3,33.67,-0.0066,0.0940,0.1550,2.2,,,0.0263,-0.0591,GBP
CB,CH0044328745,Chubb Limited,United States and Canada,Insurance,Financials,40000,109954.60,132712.60,260.0100,262.03,419625986.00,,405.27,230682.00,166991.00,83458.00,63691.00,,19767.00,2449.00,0.3104,0.7239,0.0275,0.0773,0.1641,0.2368,0.1579,49695.00,13708.00,9448.00,9028.00,11.6,3.2,146.83,0.0546,0.0310,,,,,0.0658,0.1791,USD
EL,FR0000121667,EssilorLuxottica Société anonyme,Europe,Health Care Equipment and Supplies,Health Care,151292,98961.29,109397.94,206.4000,217.25,455514437.00,,452.04,66817.18,23880.55,55805.92,42936.63,,12869.29,2824.02,0.2997,0.3574,0.0337,0.0405,0.0605,0.2306,0.0630,28035.99,17480.68,3608.96,2527.05,38.7,,93.39,0.1135,,,3.1,14.4,,0.0457,0.1615,EUR
