MSCI_INDEX,MSCI_ISSUER_NAME,MSCI_ISSUER_TICKER,MSCI_ISSUER_CNTRY_DOMICILE_NAME,MSCI_IVA_INDUSTRY_GROUP,MSCI_INDUSTRY_ADJUSTED_ESG_SCORE,MSCI_ENVIRONMENTAL_PILLAR_SCORE,MSCI_SOCIAL_PILLAR_SCORE,MSCI_GOVERNANCE_PILLAR_SCORE,MSCI_CARBON_EMISSIONS_SCORE,MSCI_CORP_GOVERNANCE_SCORE,SP_FIN_MARKET_CAP,SP_FIN_ENTERPRISE_VALUE,SP_FIN_TOTAL_ASSETS,SP_FIN_TOTAL_EQUITY,SP_FIN_TOTAL_LIABILITIES,SP_FIN_TOTAL_DEBT,SP_FIN_CASH_AND_EQUIVALENTS,SP_FIN_SIZE,SP_FIN_LEVERAGE_RATIO_PERCENT,SP_FIN_DATE_TO_EQUITY_RATIO_PERCENT,SP_FIN_RETURN_ON_ASSETS_ROA,SP_FIN_RETURN_ON_ASSETS_ROA_PERCENT,SP_FIN_RETURN_ON_EQUITY_PERCENT,SP_FIN_PE_LTM,SP_FIN_TOTAL_ASSETS_CAGR_5Y,TOBINQ RATIO,SP_FIN_NET_INCOME_IS
MSCI_EM,BAJAJ HOLDINGS & INVESTMENT LIMITED.,BAJAJHLDNG,India,Financials,1.2,7,1,4.7,7,4.9,11266.37,11266.24202,7820.1,7557.27,262.83,7.51,6.48,7820.1,0.09937451,0.09937451,0.0163,1.63,0.1286,12.9,0.1926,1.490798926,872.15
MSCI_EM,"TAIWAN MOBILE CO., LTD.",3045,Taiwan,Communication Services,5.8,10,7.3,3.5,10,4.1,9841.84,9829.656886,7914.66,3042.03,4872.64,3482.72,431.44,7914.66,114.4867079,114.4867079,0.0503,5.03,0.1725,24,0.1047,3.235286963,399.83
MSCI_EM,Guangzhou Kingmed Diagnostics Group Co Ltd,603882,China,Health Care,8.1,9.2,6.7,5.5,9.2,6,1777.72,1775.501143,1657.93,1204.23,453.7,81.6,346.26,1657.93,6.776114197,6.776114197,0.0202,2.02,0.0731,27.1,0.2435,1.476229624,90.65
MSCI_EM,STANDARD BANK GROUP LIMITED,SBK,South Africa,Financials,8.1,9.4,5.1,6,10,7.8,18404.63,18410.76395,167608.56,15139.6,152468.96,7616.49,2544.24,167608.56,50.30839652,50.30839652,0.0169,1.69,0.1878,7.7,0.0759,1.215661576,2513.41
MSCI_EM,"FAW Jiefang Group Co.,Ltd",800,China,Industrials,0,3.4,3.6,0.5,8.1,2.5,4917.52,4901.295537,9280.82,3449.91,5830.91,8.12,3229.27,9280.82,0.235368459,0.235368459,-0.0172,-1.72,0.0317,40.8,0.2874,1.4254053,107.5
MSCI_EM,BIM BIRLESIK MAGAZALAR ANONIM SIRKETI,BIMAS.E,Turkey,Consumer Staples,2.7,2.4,5,3,10,2.8,10172.29,10172.88,5014.34,2360.78,2653.56,756.15,122.09,5014.34,32.02966816,32.02966816,0.0189,1.89,0.2412,18.1,0.753,4.308868255,522.67
MSCI_EM,The Siam Cement Public Company Limited,SCC,Thailand,Materials,8.1,5.9,7.8,3.1,8.1,4.4,7297.01,7296,25963.93,12830.77,13133.16,9808.68,1266.87,25963.93,76.44654218,76.44654218,0.0078,0.78,0.0539,22.5,0.0866,0.568711776,752.97
MSCI_EM,ANTA SPORTS PRODUCTS LIMITED,2020,China,Consumer Discretionary,5.1,2.5,4.3,6,8.7,5.9,27640.55,27646.40536,12993.89,7891.18,5102.71,3024.74,2145.45,12993.89,38.33064257,38.33064257,0.1187,11.87,0.2403,19.2,0.3049,3.502714423,1442.14
MSCI_EM,SASA POLYESTER SANAYI ANONIM SIRKETI,SASA.E,Turkey,Materials,4,4.7,1.2,3.1,9.3,3.3,7241.09,7237.44916,5138.33,2228.87,2909.46,2491.65,178.09,5138.33,111.7898307,111.7898307,0.0375,3.75,0.3421,7.5,1.0541,3.248771799,615.81
MSCI_EM,SUNDARAM FINANCE LIMITED,SUNDARMFIN,India,Financials,6,7,4.9,4,7,5.8,6296.02,6296.255746,7713.89,1329.52,6384.37,5322.77,180.34,7713.89,400.3527589,400.3527589,0.0306,3.06,0.1554,36.2,0.138,4.735558698,172.34
MSCI_EM,Raia Drogasil S/A,RADL3,Brazil,Health Care,7.1,5.5,5.9,6,10,6.6,8265.28,8266.89701,4142.24,1242.67,2899.57,1456.88,85,4142.24,117.2378829,117.2378829,0.0705,7.05,0.1902,38.6,0.2227,6.651226794,217.47
MSCI_EM,COSCO SHIPPING Development Company Limited,601866,China,Industrials,2,3.4,6.6,2.3,10,3.7,3930.78,4741.525012,17742.26,4125.74,13616.52,12703.65,1835.3,17742.26,307.9120352,307.9120352,0.017,1.7,0.0484,19.5,-0.0179,0.952745447,198.53
MSCI_EM,"RUENTEX DEVELOPMENT CO.,LTD.",9945,Taiwan,Real Estate,2.9,4.3,1.6,4.2,7.9,4,3767.75,3769.900143,5762.89,3316.68,2446.21,1896.04,128.03,5762.89,57.16680536,57.16680536,0.0184,1.84,0.0961,8.8,0.1543,1.136000458,252.28
MSCI_EM,"37 INTERACTIVE ENTERTAINMENT NETWORK TECHNOLOGY GROUP CO.,LTD.",2555,China,Communication Services,8.2,10,6.5,5.9,10,7.2,3955.49,3959.456641,2695.84,1805.12,890.73,292.58,870.27,2695.84,16.20834072,16.20834072,0.0954,9.54,0.2096,11.5,0.1791,2.191261523,374.56
MSCI_EM,"Sungrow Power Supply Co., Ltd.",300274,China,Industrials,5.8,7.1,4.7,5,9.5,6.1,17876.74,17876.86623,11676.37,4149.81,7526.56,1244.11,2540.31,11676.37,29.97992679,29.97992679,0.0984,9.84,0.3907,13.1,0.3499,4.307845419,1329.93
MSCI_EM,"SAILUN GROUP CO., LTD.",601058,China,Consumer Discretionary,2.4,2.7,3.6,4.1,6.5,6.3,5909,5896.807568,4751.57,2175.19,2576.38,1263.46,734.88,4751.57,58.08504085,58.08504085,0.0777,7.77,0.2271,11.3,0.1714,2.716544302,435.55
MSCI_EM,Yankuang Energy Group Company Limited,600188,China,Materials,2.1,2.3,3.8,2.4,1.6,4,19654.61,26483.95598,49913.8,16671.88,33241.91,14032.97,5297.01,49913.8,84.17149116,84.17149116,0.0652,6.52,0.2037,9.1,0.1171,1.178907838,2837.43
MSCI_EM,Jiangsu Expressway Company Limited,600377,China,Industrials,3.6,7.4,3.8,3.8,8,5.6,7923.99,8765.68065,11082.51,5760.73,5321.78,4703.43,121.47,11082.51,81.64642328,81.64642328,0.0418,4.18,0.1169,12.9,0.1031,1.37551838,621.78
MSCI_EM,"Ningbo Sanxing Medical Electric Co., Ltd.",601567,China,Industrials,0,4.9,4.7,1.2,7.7,2.7,6461.48,6463.283043,3030.94,1571.38,1459.57,492.82,768.26,3030.94,31.36224211,31.36224211,0.0551,5.51,0.1849,23.3,0.0848,4.111978007,268.21
MSCI_EM,Rede D'Or Sao Luiz S.A.,RDOR3,Brazil,Health Care,4.5,10,5.4,3.6,10,4.6,11215.61,11207.94111,18623.07,4913.45,13709.61,8033.13,673.54,18623.07,163.4926579,163.4926579,0.0386,3.86,0.0908,22.1,0.3655,2.282634401,420.67
MSCI_EM,Beijing New Building Materials Public Limited Company,786,China,Industrials,0.6,3.4,5,3.4,0.9,4.7,6996.61,6994.562466,4319.74,3343.54,976.2,437.07,80.44,4319.74,13.07207331,13.07207331,0.0805,8.05,0.157,13.5,0.1135,2.092575534,496.49
MSCI_EM,"Jason Furniture (Hangzhou) Co., Ltd.",603816,China,Consumer Discretionary,1,4.4,2.7,3.6,7.4,5.8,3650.41,3652.09834,2364.07,1379.66,984.41,279.84,504.82,2364.07,20.28325819,20.28325819,0.0828,8.28,0.214,13.2,0.0983,2.64587652,282.62
MSCI_EM,Interconexion Electrica S.A. E.S.P.,ISA,Colombia,Utilities,6.5,7.9,5.1,4.1,8.4,4.8,4784.13,4785.168502,18385.74,6806.87,11578.88,8055.23,1051.23,18385.74,118.3397068,118.3397068,0.0614,6.14,0.1539,8.1,0.0963,0.702838456,636.75
MSCI_EM,SONA BLW PRECISION FORGINGS LIMITED,SONACOMS,India,Consumer Discretionary,5.8,3.6,3.8,6.3,10,7.5,4548.83,4550.933837,463.84,336.05,127.79,49.46,10.92,463.84,14.71804791,14.71804791,0.1232,12.32,0.2034,73.2,0.1881,13.53617021,62.08
MSCI_EM,Enel Chile S.A.,ENELCHILE,Chile,Utilities,7.8,6.8,8.7,6.2,10,6.1,3949.58,4149.993433,13447.26,5410.04,8037.22,4419.51,640.1,13447.26,81.69089323,81.69089323,0.0388,3.88,0.1486,6,0.0958,0.730046358,719.83
MSCI_EM,"Suzhou Dongshan Precision Manufacturing Co., Ltd",2384,China,IT - Hardware,0,3.1,1.7,4,7.9,5.9,4685.98,4678.509575,6251.47,2562.82,3688.66,2000.89,1013,6251.47,78.0737625,78.0737625,0.0321,3.21,0.1135,19.1,0.0734,1.828446789,276.78
MSCI_EM,Guangzhou Baiyun International Airport Company Limited,600004,China,Industrials,0.9,5.9,3.3,1.4,6.2,3.6,3070.57,3076.733768,3689.88,2508.71,1181.17,323.92,356.12,3689.88,12.91181524,12.91181524,0.0142,1.42,0.0273,37.7,-0.0066,1.22396371,62.26
MSCI_EM,"China National Nuclear Power Co., Ltd",601985,China,Utilities,3.1,4.6,7.4,1.3,10,2.4,27045.15,27003.09736,75976.68,22936.4,53040.27,46144.43,1377.02,75976.68,201.1842748,201.1842748,0.0368,3.68,0.1249,18.5,0.1076,1.179136656,1496.78
MSCI_EM,HAITIAN INTERNATIONAL HOLDINGS LIMITED,1882,China,Industrials,5,4.2,6,4.9,10,4.8,4547.43,4548.6,4099,2654.66,1444.33,387.25,767.23,4099,14.58755547,14.58755547,0.0593,5.93,0.139,13,0.0913,1.712999028,351.03
MSCI_EM,PRESIDENT CHAIN STORE CORPORATION,2912,Taiwan,Consumer Staples,5.5,3.8,6.5,2.9,10,3.1,8760.59,8764.01561,8383.36,1558.65,6824.71,3665.39,1593.9,8383.36,235.1644051,235.1644051,0.035,3.5,0.2708,26.1,0.1505,5.620626824,412.44
MSCI_EM,"Jiangsu Yoke Technology Co., Ltd",2409,China,Materials,0.5,2.1,0,3.6,2,5.6,4090.47,4088.218754,1777.21,1220.98,556.23,285.99,288.13,1777.21,23.42298809,23.42298809,0.0375,3.75,0.0714,45.3,0.2153,3.350153156,81.64
MSCI_EM,RUMO S.A.,RAIL3,Brazil,Industrials,6.4,7.9,5.3,4.2,7.9,4.6,7082.64,7083.637345,10149.95,3271.64,6878.31,4915.07,1491.21,10149.95,150.2326051,150.2326051,0.0469,4.69,0.0462,35.1,0.1266,2.164859214,148.35
MSCI_EM,JSW STEEL LIMITED,JSWSTEEL,India,Materials,1.5,3,1.8,3.3,4.2,3.6,27492.7,27488.26638,27386.47,9574.07,17812.4,10560.32,1481.91,27386.47,110.3012616,110.3012616,0.0571,5.71,0.1222,26,0.1471,2.871579172,1057.54
MSCI_EM,SHRIRAM FINANCE LIMITED,SHRIRAMFIN,India,Financials,4.8,8.7,4.2,6.8,8.7,8.4,13265.09,13265.48619,29794.86,5961.79,23833.06,18128.08,1340.87,29794.86,304.0710927,304.0710927,0.0322,3.22,0.1583,15,0.1869,2.22501799,884.05
MSCI_EM,"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",9540,South Korea,Industrials,2.9,4.4,3,5.2,10,6.3,8034.19,8033.889114,24884.86,9547.26,15337.6,3097.98,2329.6,24884.86,32.4488911,32.4488911,0.0057,0.57,0.0116,19.6,0.0545,0.841517881,171.12
MSCI_EM,"WESTERN SECURITIES CO., LTD.",2673,China,Financials,1.7,4.9,1.8,4,6.7,5.9,3812.59,3799.144449,13556.44,3962.27,9594.17,6775.17,426.41,13556.44,170.9921333,170.9921333,0.0125,1.25,0.0433,27.4,0.1298,0.962223675,164.23
