MSCI_INDEX,ISSUERID,ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_SEDOL,ISSUER_CUSIP,ISSUER_CNTRY_DOMICILE,ISSUER_CNTRY_DOMICILE_NAME,IVA_INDUSTRY,GICS_SUB_IND,IVA_RATING_DATE,IVA_COMPANY_RATING,INDUSTRY_ADJUSTED_ESG_SCORE,ENVIRONMENTAL_PILLAR_SCORE,ENVIRONMENTAL_PILLAR_WEIGHT,SOCIAL_PILLAR_SCORE,SOCIAL_PILLAR_WEIGHT,GOVERNANCE_PILLAR_SCORE,GOVERNANCE_PILLAR_WEIGHT,CARBON_EMISSIONS_SCORE,CORP_GOVERNANCE_SCORE,CORP_GOVERNANCE_WEIGHT
MSCI_WORLD,IID000000002123685,CSX Corporation,CSX,US1264081035,2160753,126408103,US,United States of America,Road & Rail Transport,Rail Transportation,28/11/2023 0:00,A,6.5,6.1,18,4,49,6.1,33,6.1,6.9,0
MSCI_WORLD,IID000000002123686,Coterra Energy Inc.,CTRA,US1270971039,2162340,127097103,US,United States of America,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,27/7/2023 0:00,BBB,5.6,3.1,43,3.8,24,7.2,33,3.2,7.5,0
MSCI_WORLD,IID000000002123690,Magna International Inc.,MG,CA5592224011,2554475,559222401,CA,Canada,Auto Components,Automotive Parts & Equipment,22/8/2023 0:00,A,6.7,4.1,18,4.1,41,7,41,10,7.9,0
MSCI_WORLD,IID000000002123695,THE J. M. SMUCKER COMPANY,SJM,US8326964058,2951452,832696405,US,United States of America,Food Products,Packaged Foods & Meats,20/12/2023 0:00,A,6.3,3.4,33,4.8,34,6.5,33,9.9,6.4,0
MSCI_WORLD,IID000000002123700,THE SOUTHERN COMPANY,SO,US8425871071,2829601,842587107,US,United States of America,Utilities,Electric Utilities,16/8/2023 0:00,A,5.8,5.7,54,8,13,5.5,33,6.3,7.9,0
MSCI_WORLD,IID000000002123703,S&P GLOBAL INC.,SPGI,US78409V1044,BYV2325,78409V104,US,United States of America,Diversified Financials,Financial Exchanges & Data,26/9/2023 0:00,AA,7.3,10,5,3,35,7.7,60,10,7.7,0
MSCI_WORLD,IID000000002123704,"MARTIN MARIETTA MATERIALS, INC.",MLM,US5732841060,2572079,573284106,US,United States of America,Construction Materials,Construction Materials,29/8/2023 0:00,A,7.1,5.4,35,4.4,32,8.2,33,7,8.7,0
MSCI_WORLD,IID000000002123707,"DARDEN RESTAURANTS, INC.",DRI,US2371941053,2289874,237194105,US,United States of America,Restaurants,Restaurants,17/11/2023 0:00,BBB,5.2,1.5,19,3.4,48,8.1,33,10,8.4,0
MSCI_WORLD,IID000000002123710,BCE Inc.,BCE,CA05534B7604,B188TH2,05534B760,CA,Canada,Telecommunication Services,Integrated Telecommunication Services,7/6/2024 0:00,BBB,5.2,10,5,4.2,53,6.1,42,10,7.9,0
MSCI_WORLD,IID000000002123714,STRYKER CORPORATION,SYK,US8636671013,2853688,863667101,US,United States of America,Health Care Equipment & Supplies,Health Care Equipment,22/8/2023 0:00,BBB,5.4,10,5,4.2,56,6.4,39,10,7,0
MSCI_WORLD,IID000000002123715,AMPHENOL CORPORATION,APH,US0320951017,2145084,32095101,US,United States of America,"Electronic Equipment, Instruments & Components",Electronic Components,4/6/2024 0:00,BBB,4.9,4.5,12,4.1,47,5.1,41,10,6,0
MSCI_WORLD,IID000000002123718,FACTSET RESEARCH SYSTEMS INC.,FDS,US3030751057,2329770,303075105,US,United States of America,Diversified Financials,Financial Exchanges & Data,27/9/2023 0:00,AA,8.3,10,5,2.9,35,7.3,60,10,7.9,0
MSCI_WORLD,IID000000002123719,AFLAC INCORPORATED,AFL,US0010551028,2026361,1055102,US,United States of America,Life & Health Insurance,Life & Health Insurance,24/5/2024 0:00,A,6.6,5.1,5,5.5,60,5.2,35,10,6,0
MSCI_WORLD,IID000000002123730,"Dominion Energy, Inc.",D,US25746U1097,2542049,25746U109,US,United States of America,Utilities,Multi-Utilities,28/11/2023 0:00,AA,7.5,7,54,5.5,13,6.8,33,7.2,6.9,0
MSCI_WORLD,IID000000002123735,Power Assets Holdings Limited,6,HK0006000050,6435327,739197200,HK,Hong Kong,Utilities,Electric Utilities,21/12/2023 0:00,A,6.2,6.9,54,5.1,13,4.5,33,6.8,4,0
MSCI_WORLD,IID000000002123743,BNP PARIBAS SA,BNP,FR0000131104,7309681,05565A202,FR,France,Banks,Diversified Banks,27/6/2023 0:00,AA,7.9,10,13,4,54,6.4,33,10,9,0
